leftover,product,storage,t
-136.105714704,POJ,S35,27.0
-38.5107894413,ROJ,S35,27.0
-109.922206732,FCOJ,S35,27.0
-36.8137936125,ORA,S73,27.0
-37.2069269041,POJ,S73,27.0
-50.8327594892,ROJ,S73,27.0
-30.9518759952,FCOJ,S73,27.0
-28.5477788022,ORA,S59,27.0
-43.6732910563,POJ,S59,27.0
-56.6290496899,ROJ,S59,27.0
-52.2402361897,FCOJ,S59,27.0
-71.5136303157,ORA,S51,27.0
-115.389173181,POJ,S51,27.0
-75.2428927615,ROJ,S51,27.0
-139.799499706,FCOJ,S51,27.0
-36.0367014788,ORA,S35,28.0
43.9704050906,POJ,S35,28.0
-41.097544298,ROJ,S35,28.0
-37.8327197441,FCOJ,S35,28.0
-41.2302574193,ORA,S73,28.0
-40.477787175,POJ,S73,28.0
-48.5719700788,ROJ,S73,28.0
1.46300626135,FCOJ,S73,28.0
-32.2101550414,ORA,S59,28.0
-46.9990636293,POJ,S59,28.0
-55.7096649202,ROJ,S59,28.0
-39.4777266851,FCOJ,S59,28.0
-76.3490223467,ORA,S51,28.0
-115.894096593,POJ,S51,28.0
-74.1097006653,ROJ,S51,28.0
-201.736802593,FCOJ,S51,28.0
-31.7153392732,ORA,S35,29.0
14.0840798482,POJ,S35,29.0
-35.8129046719,ROJ,S35,29.0
-77.941921854,FCOJ,S35,29.0
-53.5962475363,ORA,S73,29.0
-38.7368281969,POJ,S73,29.0
-52.5923904943,ROJ,S73,29.0
-2.79401879057,FCOJ,S73,29.0
-28.8410860522,ORA,S59,29.0
-45.7629323112,POJ,S59,29.0
-57.3777826247,ROJ,S59,29.0
-35.1643289796,FCOJ,S59,29.0
-87.3695533922,ORA,S51,29.0
-119.420735463,POJ,S51,29.0
-78.9836397909,ROJ,S51,29.0
-186.5085468,FCOJ,S51,29.0
-42.5491828153,ORA,S35,30.0
-21.7062079487,POJ,S35,30.0
-37.1093958868,ROJ,S35,30.0
-64.3593307641,FCOJ,S35,30.0
-40.1361021838,ORA,S73,30.0
-38.4918801219,POJ,S73,30.0
-49.2963782381,ROJ,S73,30.0
-24.2521081054,FCOJ,S73,30.0
-26.9795901377,ORA,S59,30.0
-40.8312757057,POJ,S59,30.0
-56.8232782355,ROJ,S59,30.0
-50.0475134948,FCOJ,S59,30.0
-76.5621112101,ORA,S51,30.0
-116.37553615,POJ,S51,30.0
-76.1823797574,ROJ,S51,30.0
-206.923301989,FCOJ,S51,30.0
-37.5618131966,ORA,S35,31.0
-33.211452741,POJ,S35,31.0
-37.835264504,ROJ,S35,31.0
-75.0465375329,FCOJ,S35,31.0
-51.9006713765,ORA,S73,31.0
-39.4766934323,POJ,S73,31.0
-55.0395173366,ROJ,S73,31.0
-8.5434397213,FCOJ,S73,31.0
-29.0943561684,ORA,S59,31.0
-47.6156234042,POJ,S59,31.0
-55.4227347879,ROJ,S59,31.0
-39.2370067605,FCOJ,S59,31.0
-73.9066337329,ORA,S51,31.0
-125.202898044,POJ,S51,31.0
-82.6944213623,ROJ,S51,31.0
-174.558041247,FCOJ,S51,31.0
-43.4462675467,ORA,S35,32.0
-37.3098277653,POJ,S35,32.0
-37.9297454794,ROJ,S35,32.0
-70.4456013411,FCOJ,S35,32.0
-39.0046880134,ORA,S73,32.0
-37.3293027505,POJ,S73,32.0
-47.4576569091,ROJ,S73,32.0
-16.888992427,FCOJ,S73,32.0
-27.4298833387,ORA,S59,32.0
-45.0722153574,POJ,S59,32.0
-50.8564435061,ROJ,S59,32.0
-54.9604056157,FCOJ,S59,32.0
-68.1981032179,ORA,S51,32.0
-125.171251395,POJ,S51,32.0
-67.389383645,ROJ,S51,32.0
-123.472357331,FCOJ,S51,32.0
-39.5601090267,ORA,S35,33.0
-34.1907442114,POJ,S35,33.0
-40.6489849228,ROJ,S35,33.0
-72.4717784616,FCOJ,S35,33.0
-46.7532920499,ORA,S73,33.0
-38.8816472859,POJ,S73,33.0
-48.8448568132,ROJ,S73,33.0
25.3510424123,FCOJ,S73,33.0
-20.3286011489,ORA,S59,33.0
-46.5349314819,POJ,S59,33.0
-54.0586589345,ROJ,S59,33.0
-39.2836189854,FCOJ,S59,33.0
-99.1127011955,ORA,S51,33.0
-114.31106347,POJ,S51,33.0
-62.2935573568,ROJ,S51,33.0
-165.742951579,FCOJ,S51,33.0
-37.7521147439,ORA,S35,34.0
-36.1382878563,POJ,S35,34.0
-40.701652845,ROJ,S35,34.0
-54.3355638715,FCOJ,S35,34.0
-41.3814977494,ORA,S73,34.0
-38.4151418684,POJ,S73,34.0
-46.127475086,ROJ,S73,34.0
36.8169471904,FCOJ,S73,34.0
-32.6703683818,ORA,S59,34.0
-46.4308532453,POJ,S59,34.0
-55.2696148522,ROJ,S59,34.0
-43.5901125115,FCOJ,S59,34.0
-77.9921385659,ORA,S51,34.0
-110.337690333,POJ,S51,34.0
-69.7022361188,ROJ,S51,34.0
-184.467863115,FCOJ,S51,34.0
-35.7886823664,ORA,S35,35.0
-39.6922366051,POJ,S35,35.0
-34.7579142511,ROJ,S35,35.0
-60.9040150825,FCOJ,S35,35.0
-48.6793744584,ORA,S73,35.0
-39.8576134482,POJ,S73,35.0
-45.0292300306,ROJ,S73,35.0
27.5000365487,FCOJ,S73,35.0
-37.8197695854,ORA,S59,35.0
-50.4802422276,POJ,S59,35.0
-55.0926647052,ROJ,S59,35.0
-61.8759848032,FCOJ,S59,35.0
-84.436499596,ORA,S51,35.0
-112.54839632,POJ,S51,35.0
-72.5291267104,ROJ,S51,35.0
-143.787619644,FCOJ,S51,35.0
-47.8219618485,ORA,S35,36.0
-135.208137902,POJ,S35,36.0
-38.0403354315,ROJ,S35,36.0
-124.65123026,FCOJ,S35,36.0
-41.8050626098,ORA,S73,36.0
-38.5121271632,POJ,S73,36.0
-44.4797282874,ROJ,S73,36.0
21.3946449895,FCOJ,S73,36.0
-34.5199797566,ORA,S59,36.0
